Name,Nationality,Gender,Birth Year,Death Year,Living Status,Age
Robert Arneson,American,Male,1930,1992,FALSE,62
Doroteo Arnaiz,Spanish,Male,1936,Alive,TRUE,
Bill Arnold,American,Male,1941,Alive,TRUE,
Charles Arnoldi,American,Male,1946,Alive,TRUE,
Per Arnoldi,Danish,Male,1941,Alive,TRUE,
Danilo Aroldi,Italian,Male,1925,Alive,TRUE,
Bill Aron,American,Male,1941,Alive,TRUE,
David Aronson,American,Male,1923,Alive,TRUE,
Irene Aronson,American,Female,1918,Alive,TRUE,
Jean (Hans) Arp,French,Male,1886,1966,FALSE,80
Jüri Arrak,Estonian,Male,1936,Alive,TRUE,
J. Arrelano Fischer,Mexican,Male,1911,1995,FALSE,84
Folke Arstrom,Swedish,Male,1907,1997,FALSE,90
Cristobal Arteche,Spanish,Male,1900,1964,FALSE,64
Richard Artschwager,American,Male,1923,2013,FALSE,90
Ruth Asawa,American,Female,1926,2013,FALSE,87
Charles Robert Ashbee,British,Male,1863,1942,FALSE,79
Donald Ashcraft,American,Male,1927,Alive,TRUE,
E. M. Ashe,American,Male,1867,1941,FALSE,74
Erik Gunnar Asplund,Swedish,Male,1885,1940,FALSE,55
Geneviève Asse,French,Female,1923,Alive,TRUE,
Sergio Asti,Italian,Male,1926,Alive,TRUE,
Dana Atchley,American,Female,1941,2000,FALSE,59
Alvar Aalto,Finnish,Male,1898,1976,FALSE,78
Aino Aalto,Finnish,Female,1894,1949,FALSE,55
Eero Aarnio,Finnish,Male,1932,Alive,TRUE,
Jules Aarons,American,Male,1921,2008,FALSE,87
Magdalena Abakanowicz,Polish,Female,1930,Alive,TRUE,
James Abbe,American,Male,1883,1973,FALSE,90
Jussuff Abbo,British,Male,1888,1953,FALSE,65
Berenice Abbott,American,Female,1898,1991,FALSE,93
Nobuya Abe,Japanese,Male,1913,1971,FALSE,58
Abe Shiro (pen Name: Suichiku),Japanese,Male,1900,Alive,TRUE,
Robert Abel,American,Male,1937,Alive,TRUE,
Sigmund Abeles,American,Male,1934,Alive,TRUE,
Raimund Abraham,American,Male,1933,2010,FALSE,77
Ivor Abrahams,British,Male,1935,Alive,TRUE,
Gerald Abramovitz,British,Male,1928,2011,FALSE,83
William Ross Abrams,American,Male,1920,2007,FALSE,87
Rodolfo Abularach,Guatemalan,Male,1933,Alive,TRUE,
Vito Acconci,American,Male,1940,Alive,TRUE,
Milton Ackoff,American,Male,1915,Alive,TRUE,
Luis Alberto Acuña,Colombian,Male,1904,1994,FALSE,90
Henri Georges Adam,French,Male,1904,1967,FALSE,63
Antoine Samuel Adam-Salomon,French,Male,1818,1881,FALSE,63
Valerio Adami,Italian,Male,1935,Alive,TRUE,
Ansel Adams,American,Male,1902,1984,FALSE,82
Alice Adams,American,Female,1930,Alive,TRUE,
Clinton Adams,American,Male,1918,2002,FALSE,84
Dacres Adams,British,Male,1864,1951,FALSE,87
Dennis Adams,American,Male,1948,Alive,TRUE,
Kenneth M. Adams,American,Male,1897,1966,FALSE,69
Robert Adams,American,Male,1937,Alive,TRUE,
Shelby Lee Adams,American,Female,1950,Alive,TRUE,
Charles Addams,American,Male,1912,1988,FALSE,76
Allan Adler,American,Male,1916,2002,FALSE,86
Jankel Adler,Polish,Male,1895,1949,FALSE,54
Virginia Admiral,American,Female,1915,2000,FALSE,85
Pic Adrian,Romanian,Male,1910,Alive,TRUE,
Roy Adzak,British,Male,1927,1987,FALSE,60
Nicholas Africano,American,Male,1948,Alive,TRUE,
Afro (Afro Basaldella),Italian,Male,1912,1976,FALSE,64
Agam (Yaacov Agam),Israeli,Male,1928,Alive,TRUE,
Mehemed Fehmy Agha,American,Male,1896,1978,FALSE,82
Kathleen Agnoli,American,Female,1945,Alive,TRUE,
Peter Agostini,American,Male,1913,1993,FALSE,80
Olympe Aguado de las Marismas,French,Male,1827,1894,FALSE,67
Dongkuk S. Ahn,American,Male,1937,2013,FALSE,76
Aarne Aho,Finnish,Male,1904,1978,FALSE,74
Otl Aicher (also known as Otto Aicher),German,Male,1922,1991,FALSE,69
Lucien Aigner,American,Male,1901,1999,FALSE,98
Gregory Ain,American,Male,1908,1988,FALSE,80
Edgar Ainsworth,British,Male,1906,1975,FALSE,69
Roberto Aizenberg,Argentine,Male,1928,1996,FALSE,68
Kinji Akagawa,Japanese,Male,1940,Alive,TRUE,
Ryoji Akiyama,Japanese,Male,1942,Alive,TRUE,
Munira Al-Kazi,Kuwaiti,Female,1939,Alive,TRUE,
Alastair (Hans H. Voight),German,Male,1887,1969,FALSE,82
Anni Albers,American,Female,1899,1994,FALSE,95
Josef Albers,American,Male,1888,1976,FALSE,88
Joan Albert,American,Female,1943,2012,FALSE,69
Ivan Le Lorraine Albright,American,Male,1897,1983,FALSE,86
Albert Alcalay,American,Male,1917,2008,FALSE,91
L. (Alfred Lewin Copley) Alcopley,American,Male,1910,1992,FALSE,82
Alan Aldridge,British,Male,1943,Alive,TRUE,
Pierre Alechinsky,Belgian,Male,1927,Alive,TRUE,
Peter Alexander,American,Male,1939,Alive,TRUE,
José R. Alicea,American,Male,1928,Alive,TRUE,
James Alinder,American,Male,1941,Alive,TRUE,
Yves Alix,French,Male,1890,1969,FALSE,79
Wobbe Alkema,Dutch,Male,1900,1984,FALSE,84
William Allan,American,Male,1936,Alive,TRUE,
Alexander Alland,American,Male,1902,1989,FALSE,87
Harry Allen,American,Male,1964,Alive,TRUE,
Terry Allen,American,Male,1943,Alive,TRUE,
Adrian Allinson,British,Male,1890,1959,FALSE,69
Carlos Alonso,Argentine,Male,1929,Alive,TRUE,
Glen Alps,American,Male,1914,1996,FALSE,82
Henry Altchek,American,Male,1943,Alive,TRUE,
Gerhard Altenbourg,German,Male,1926,1989,FALSE,63
Hobie Alter,American,Male,1933,Alive,TRUE,
Harold Altman,American,Male,1924,2003,FALSE,79
Giacchino Altobelli,Italian,Male,1814,Alive,TRUE,
John Altoon,American,Male,1925,1969,FALSE,44
Manuel Álvarez Bravo,Mexican,Male,1902,2002,FALSE,100
Dag Alveng,Norwegian,Male,1953,Alive,TRUE,
Getulio Alviani,Italian,Male,1939,Alive,TRUE,
