Medium,Values
Gelatin silver print,13551
Lithograph,6364
Albumen silver print,2970
"Lithograph, printed in color",1796
Etching,1469
Chromogenic color print,1451
"Lithograph, printed in black",1449
Pencil on paper,1441
Letterpress,1356
Ink on paper,1260
Oil on canvas,1063
Drypoint,1024
"Video (color, sound)",960
Offset lithograph,901
Woodcut,840
Screenprint,748
"Etching, printed in black",686
Gelatin silver printing-out-paper print,667
"Wood engraving, printed in black",631
"Woodcut, printed in color",539
"Woodcut, printed in black",498
Platinum print,479
"Drypoint, with hand additions",470
Collotype,468
Etching and aquatint,456
Photogravure,440
"35mm film (color, sound)",438
Photolithograph,381
Silkscreen,371
"Lithograph, offset printed",334
Watercolor on paper,315
Matte albumen silver print,311
Pigmented inkjet print,296
"Video (black and white, sound)",295
"Screenprint, printed in color",292
Engraving,266
One from a portfolio of 264 color Xeroxes,264
Gouache on paper,250
Dye transfer print,249
Linoleum cut,244
Albumen silver print from a glass negative,239
Charcoal on paper,228
Aquatint,221
One from a portfolio of ten lithographs,215
"Super 8mm film transferred to video (color, silent)",215
Bronze,214
One from a portfolio of eighteen lithographs,210
Poster,199
Etching and drypoint,189
Watercolor and pencil on paper,187
"Gelatin silver print, printed 1965",185
Paperboard folder containing photocopies,181
"Transfer lithograph, printed in black",180
"Etching and engraving over photogravure, printed in black",178
Glass,177
"Etching and drypoint, printed in black",175
Artist's book,171
Gouache and pencil on paper,156
"Etching, printed in color",155
"Artist's book, lithograph printed",155
"Etching and aquatint, printed in black",150
"16mm film (color, sound)",149
Calotype,146
"Linoleum cut, printed in black",144
12-inch vinyl record,143
"Soft ground etching, printed in black",143
Pigment print,141
Ink and pencil on paper,141
"One from a set of 156 offset printed bulletins, exhibition copy",140
One from a portfolio of 139 etchings,139
Silver dye bleach print,135
Pencil on tracing paper,135
Digital print,133
Synthetic polymer paint on paper,132
"Engraving, printed in black",132
Albumen silver print from a paper negative,129
Pencil and colored pencil on paper,127
Etching from an illustrated book with sixty-three etchings,126
Page with chromogenic color print and text,125
Lithograph from an illustrated book with 123 lithographs,123
Transfer lithograph,119
Ink on vellum,118
Synthetic polymer paint on canvas,118
"Multi-channel video (color, sound)",118
"Drypoint, printed in black",117
Gelatin silver prints,115
Graphite on paper,112
"Wood engraving, printed in color",109
"Etching and aquatint, printed in color",108
"Photolithograph, printed in color",108
"Linoleum cut, printed in color",105
One from an illustrated book with 104 line block reproductions after drawings (including front cover),104
"Soft ground etching, printed in color",102
One from a portfolio of 101 screenprints (including title page and colophon),101
Illustrated book with one hundred offset lithographs,101
Stainless steel,98
"Gelatin silver print, printed 1968",96
Watercolor and ink on paper,96
Colored pencil on paper,95
Aquatint and etching,94
Collotype reproduction,92
"Etching, soft ground etching, and engraving, printed in black",91
Various materials,89
"Etching and engraving over photogravure, printed in black with gouache additions",88
7-inch vinyl record,88
Engraving and drypoint,87
Crayon on paper,86
"35mm film (black and white, sound)",85
Postcard,85
Pencil and ink on paper,84
Offset lithography,84
Lithograph on chine appliqué,84
"Gelatin silver print, printed 1978",83
"Etching, with hand additions",82
"Drypoint and engraving, with hand additions",82
One from a portfolio of eighty two mixed media prints,82
One from a portfolio of twelve lithographs,82
"Lift ground aquatint, printed in color",81
"16mm film (black and white, sound)",80
Wood engraving,80
Salted paper print,79
Felt-tip pen on paper,78
One from a portfolio of ten screenprints,78
Albumen silver print from a wet-collodion glass negative,78
Drypoint and engraving,78
Salted paper print from a paper negative,77
"Video (black and white and color, sound)",75
Plastic,75
(CONFIRM),75
