,Name
Louise Bourgeois,3116
Eugène Atget,2833
Unknown photographer,1526
Lee Friedlander,1313
Pablo Picasso,1298
Ludwig Mies van der Rohe,941
Jean Dubuffet,924
Marc Chagall,917
August Sander,699
Pierre Bonnard,594
Georges Rouault,569
Sol LeWitt,550
Henri Matisse,524
Dorothea Lange,483
Jan Dibbets,426
Unknown Designer,406
Pierre Alechinsky,402
Joan Miró,393
Jasper Johns,382
Walker Evans,360
Garry Winogrand,342
George Maciunas,335
Robert Rauschenberg,316
Jules Pascin,314
Émile Bernard,309
Henri Cartier-Bresson,304
Christian Boltanski,295
Ansel Adams,289
Josef Albers,287
Alighiero Boetti,283
José Antonio Suárez Londoño,282
Edward Steichen,279
Odilon Redon,274
Jim Dine,273
John Thomson,264
Eduardo Paolozzi,264
Unknown Artist,262
Edward Weston,259
Leonard Baskin,253
Ellsworth Kelly,245
Harry Callahan,245
Robert Motherwell,245
André Derain,238
Martin Kippenberger,230
André Masson,228
Raymond Pettibon,227
Max Ernst,225
Thomas Schütte,225
Lyonel Feininger,223
Michael Schmidt,223
William Eggleston,218
Max Beckmann,218
Edward Ruscha,217
Fernand Léger,212
Nicholas Nixon,211
Marcel Duchamp,210
Andy Warhol,210
David Hockney,210
André Dunoyer de Segonzac,207
Aleksandr Rodchenko,207
George Grosz,205
Jacques Villon,205
Robert Frank,204
Roman Signer,203
Eadweard J. Muybridge,201
Henri de Toulouse-Lautrec,200
Ben Vautier,197
Various Artists,192
E. McKnight Kauffer,190
Lovis Corinth,188
Dieter Roth,187
Anni Albers,186
Raoul Dufy,185
Antonio Frasconi,181
Francisco de Goya,181
Man Ray (Emmanuel Radnitzky),181
Richard Tuttle,177
Max Weber,177
František Kupka,171
Le Corbusier (Charles-Édouard Jeanneret),169
Ernst Ludwig Kirchner,169
Daniel Grataloup,166
Antoni Tàpies,164
Georges Braque,163
Alfred Capel-Cure,163
Alfred Stieglitz,161
Jean (Hans) Arp,161
Pavel Tchelitchew,159
Frances Benjamin Johnston,156
Aleksandra Mir,155
Francis Alÿs,153
Frank Stella,153
Herbert Bayer,151
William Wegman,149
Yoshitomo Nara,148
Kiki Smith,148
Terry Winters,147
Vasily Kandinsky,145
Jerome Neuner,144
Oskar Kokoschka,141
"George P. Critcherson, John L. Dunmore",141
Paul Klee,140
A.R. Penck (Ralf Winkler),138
Ben Shahn,137
Stephen Shore,137
Georg Baselitz,135
Francis Frith,134
David Octavius Hill,132
Fazal Sheikh,131
William Kentridge,129
Louis I. Kahn,129
Robert Watts,128
José-Guadalupe Posada,127
Roy Lichtenstein,127
Fred Sandback,126
Álvaro Siza,123
Henri Laurens,122
George Brecht,121
László Moholy-Nagy,121
Frank Lloyd Wright,120
"Alex Bag, Patterson Beckwith",119
Henry Moore,119
Lawrence Weiner,115
Lauretta Vinciarelli,115
Carroll Dunham,115
Yves Tanguy,114
Sigmar Polke,113
Aaron Siskind,112
Brassaï (Gyula Halász),110
Bill Brandt,110
R. B. Kitaj,110
El Lissitzky,106
Alex Katz,106
Hans-Peter Feldmann,106
Irving Penn,105
"George Overbury (""Pop"") Hart",105
Aristide Maillol,104
Maurice Denis,103
Sherrie Levine,103
Abraham Walkowitz,102
Ilse Bing,101
Steve Reinke,101
Gerhard Richter,100
Philip Corner,100
Larry Rivers,99
Richard Misrach,98
Paul Strand,98
Ernst Barlach,98
Cindy Sherman,98
Philip Guston,97
Eugene Berman,97
Brice Marden,96
Alexander Calder,96
Kurt Schwitters,96
Lewis W. Hine,95
Jean Lurçat,95
Ladislav Sutnar,95
"Yayoi Kusama, Harry Shunk, János Kender",94
Rosemarie Trockel,94
Joseph Beuys,93
Felice Beato,93
Yutaka Matsuzawa,93
Claes Oldenburg,93
Otto Dix,92
Doris Ulmann,92
Leopoldo Méndez,92
Marcel Broodthaers,91
Diego Rivera,91
Paul Graham,91
Roger Chastel,90
Masuo Ikeda,88
Dennis Oppenheim,88
Fiona Banner,88
Eliot Porter,88
James Rosenquist,88
Jackson Pollock,88
Helen Levitt,87
Gertrude Käsebier,86
William Gropper,85
U.S. Army Signal Corps,85
Erich Heckel,85
Alberto Giacometti,85
Franz Erhard Walther,83
Ree Morton,83
Diane Arbus,83
Bruce Nauman,83
Alvin Lustig,83
Willem de Kooning,82
Brett Weston,82
Arthur B. Davies,82
Natalia Goncharova,82
Ellen Gallagher,82
James Ensor,82
Thomas Roma,81
Kara Walker,81
Tadanori Yokoo,80
Roberto Matta,80
Maurice de Vlaminck,80
Rudy Burckhardt,80
Lucas Samaras,80
Matt Mullican,80
Wayne Miller,79
Hi Red Center,79
Paul Delvaux,79
Jan Groover,79
Louise Nevelson,78
On Kawara,78
Edvard Munch,77
VALIE EXPORT,77
Salvador Dalí,77
Ay-O,76
Rufino Tamayo,76
Christian Rohlfs,76
Max Pechstein,76
Berenice Abbott,76
Francesco Clemente,75
Emil Nolde,75
Rachel Harrison,74
Joseph Dankowski,74
Judith Joy Ross,74
Giuseppe Penone,74
Philippe Starck,74
Chryssa,73
Elizabeth Murray,73
Richard Avedon,72
José Luis Cuevas,72
Donald Judd,72
Robert Adams,72
Various Unknown Artists,72
Joel Sternfeld,71
"Emigre Inc., Rudy VanderLans, Zuzana Licko",70
"Unknown photographer, Various Unknown Artists",70
Antonio Mendoza,69
Clarence H. White,69
Times Wide World Photos,69
Garo Antreasian,68
"Flora Manteola, Ignacio Petchersky, Javier Sánchez Gómez, Josefa Santos, Justo Solsona, Rafael Viñoly",68
Meg Cranston,67
Jesse Reichek,67
Juan Baixas,67
Donald Sultan,66
Georg Trump,66
Gerald Laing,65
George Barnard,65
Martha Rosler,65
June Wayne,65
Robert Brownjohn,65
Bruce Conner,65
Piet Zwart,65
Léopold Survage,64
Rodney Graham,64
Hugo Gellert,64
Charles Despiau,64
Robert Smithson,64
Walter Richard Sickert,64
John Baldessari,64
Robert Overby,63
Margaret Bourke-White,63
Matthew Barney,63
Max Jiménez,62
Wright Morris,62
Robert Mangold,62
Gilles Peress,61
Bill Jensen,61
John D. Graham,61
Robert Cumming,61
Bernard Tschumi,61
"Flora Manteola, Javier Sánchez Gómez, Josefa Santos, Justo Solsona, Rafael Viñoly, Carlos Sallaberry, Felipe Tarsitano",61
Helen Frankenthaler,60
Rosalind Fox Solomon,60
Kazimir Malevich,60
John Armleder,59
Yasuo Kuniyoshi,59
Christopher Wool,59
Barnett Newman,59
Sam Francis,59
Hugh Townley,59
Martin Parr,58
Maurice Utrillo,58
William Gedney,58
Manuel Álvarez Bravo,58
Rudy Pozzatti,58
Günther Förg,58
Alfredo Zalce,58
Gerhard Marcks,58
Robert Heinecken,57
James Prestini,57
Kelley Walker,57
Elie Nadelman,57
David Shrigley,56
A. G. Fronzoni,56
Mathew B. Brady (studio of),56
Karl Schmidt-Rottluff,56
"Gilbert & George, Gilbert Proesch, George Passmore",56
Milan Knížák,56
Nam June Paik,56
"Dieter Roth, Ingrid Wiener",56
Billy Al Bengston,55
Juan Hidalgo,55
Ruth Asawa,55
Hans Bellmer,55
George Platt Lynes,55
Florine Stettheimer,55
Dan Weiner,55
Gunta Stölzl,55
Matsumi Kanemitsu,54
Mateo López,54
Chris Burden,54
Marina Abramović,54
León Ferrari,54
Elliott Erwitt,54
Mieko Shiomi,54
Maurizio Cattelan,53
Lee Bontecou,53
André Kertész,53
Michael Mazur,53
NASA,53
Enrico Baj,52
Minor White,52
Mira Schendel,52
Luigi Ghirri,52
Walt Kuhn,52
Larry Sultan,52
Stephen White,52
Clinton Adams,52
Gego (Gertrud Goldschmidt),52
Dan Graham,52
Agnes Martin,52
Vito Acconci,51
Robert Gober,51
Jorge Pardo,51
"Robert Brownjohn, Ivan Chermayeff, Thomas Geismar",51
Ernest J. Bellocq,51
Alexander Gardner,51
Ilya Kabakov,51
Bruce Davidson,50
David Goldblatt,50
